year,type,province,all,female,male,female_ratio,male_ratio,sex_ratio,female_ratio_index,male_ratio_index,sex_ratio_index,high,low,high_ratio,low_ratio,type_ratio,high_ratio_index,low_ratio_index,type_ratio_index,all_index,high_index,low_index,all_avg
2013,Postgraduate Students,总计,513626,257314,256312,0.500975417911087,0.4990245820889129,0.9961059250565457,0,0,0,53139,460487,0.10345854765919171,0.8965414523408083,0.11539739449756453,0,0,0,0,0,0,513626.0
2013,Postgraduate Students,北京,74165,36486,37679,0.4919571226319693,0.5080428773680308,1.0326974730033438,0,1,1,13809,60356,0.18619294815613835,0.8138070518438617,0.22879249784611305,1,0,1,1,1,1,7965.032070046977
2013,Postgraduate Students,天津,14959,8222,6737,0.5496356708336119,0.45036432916638813,0.8193870104597422,1,0,0,1708,13251,0.11417875526438934,0.8858212447356106,0.1288959323824617,1,0,1,1,1,1,5044.659348920745
2013,Postgraduate Students,河北,11231,6422,4809,0.5718101682842134,0.4281898317157867,0.7488321395203986,1,0,0,412,10819,0.03668417772237557,0.9633158222776245,0.0380811535262039,0,1,0,0,0,0,27144.30803542128
2013,Postgraduate Students,山西,7754,4244,3510,0.5473304101109105,0.4526695898890895,0.8270499528746466,1,0,0,320,7434,0.04126902244003095,0.958730977559969,0.04304546677428033,0,1,0,0,0,0,12702.81799743003
2013,Postgraduate Students,内蒙古,5125,2965,2160,0.5785365853658536,0.4214634146341463,0.7284991568296796,1,0,0,175,4950,0.03414634146341464,0.9658536585365853,0.03535353535353535,0,1,0,0,0,0,8749.438616720505
2013,Postgraduate Students,辽宁,28780,15449,13331,0.5367963863794302,0.46320361362056983,0.8629037478153926,1,0,0,2243,26537,0.07793606671299513,0.9220639332870049,0.08452349549685345,0,1,0,1,1,1,15495.384396926214
2013,Postgraduate Students,吉林,17489,9779,7710,0.5591514666361713,0.4408485333638287,0.7884241742509459,1,0,0,2161,15328,0.12356338269769569,0.8764366173023043,0.1409838204592902,1,0,1,1,1,1,8758.278588832169
2013,Postgraduate Students,黑龙江,18439,9109,9330,0.4940072672053799,0.5059927327946201,1.0242617191788341,0,1,1,1893,16546,0.10266283421009816,0.8973371657899019,0.11440831620935574,0,1,0,1,1,1,11587.53352843983
2013,Postgraduate Students,上海,35669,17224,18445,0.4828842972889624,0.5171157027110376,1.070889456572225,0,1,1,5238,30431,0.1468502060612857,0.8531497939387143,0.17212710722618382,1,0,1,1,1,1,9048.399793897164
